region,Provincia,ubigeo,popInfant,popElder,sick_elder,sick_infant,infant_share,elder_share
Loreto,Ucayali,1606,3848,2727,141,166,4.313929313929314,5.17051705170517
Loreto,Datem del Marañón,1607,4272,1141,50,42,0.9831460674157303,4.382120946538125
Loreto,Putumayo,1608,576,338,17,16,2.7777777777777777,5.029585798816568
Madre de Dios,Tambopata,1701,6414,4017,847,858,13.376987839101965,21.085387104804582
Madre de Dios,Manu,1702,1144,477,31,32,2.797202797202797,6.49895178197065
Madre de Dios,Tahuamanu,1703,631,482,119,42,6.6561014263074485,24.688796680497926
Moquegua,Mariscal Nieto,1801,3577,7362,0,0,0.0,0.0
Pasco,Oxapampa,1903,5166,6023,58,42,0.8130081300813008,0.9629752614975926
Piura,Piura,2001,43100,56165,4011,1112,2.5800464037122968,7.141458203507523
Piura,Ayabaca,2002,7034,10880,24,3,0.04264998578333807,0.22058823529411764
Piura,Huancabamba,2003,6366,10603,14,2,0.031416902293433864,0.1320381024238423
Piura,Morropón,2004,8672,16799,1115,281,3.2403136531365315,6.637299839276148
Piura,Paita,2005,8068,8095,188,43,0.532969757064948,2.3224212476837556
Piura,Sullana,2006,15684,24041,1608,707,4.507778627901046,6.688573686618693
Piura,Talara,2007,7379,10727,633,275,3.7267922482721234,5.900997482986855
Piura,Sechura,2008,5841,3840,181,51,0.8731381612737545,4.713541666666667
Puno,Carabaya,2103,3598,4152,5,1,0.027793218454697052,0.12042389210019268
Puno,Sandia,2112,2338,3901,1,0,0.0,0.02563445270443476
San Martín,Moyobamba,2201,6932,7415,104,21,0.30294287362954414,1.4025623735670938
San Martín,Bellavista,2202,3360,3002,46,22,0.6547619047619048,1.5323117921385743
San Martín,El Dorado,2203,2300,2155,21,19,0.8260869565217391,0.974477958236659
San Martín,Huallaga,2204,1490,1993,34,5,0.33557046979865773,1.7059708981435022
San Martín,Lamas,2205,4663,5857,100,30,0.6433626420759168,1.7073587160662456
San Martín,Mariscal Cáceres,2206,3942,3659,105,136,3.450025367833587,2.8696365127083903
San Martín,Picota,2207,2438,2729,34,20,0.8203445447087777,1.245877610846464
San Martín,Rioja,2208,7463,6789,76,27,0.3617848050381884,1.1194579466784504
San Martín,San Martín,2209,9874,12666,266,291,2.9471338869758963,2.1001105321332703
San Martín,Tocache,2210,3915,3508,108,72,1.839080459770115,3.0786773090079818
Tumbes,Tumbes,2401,8156,10662,950,402,4.928886709171162,8.910148189833052
Tumbes,Contralmirante Villar,2402,1176,1494,130,99,8.418367346938776,8.701472556894243
Tumbes,Zarumilla,2403,3137,2395,254,143,4.558495377749442,10.605427974947808
Ucayali,Coronel Portillo,2501,23862,21609,1350,1883,7.891207778057162,6.247396917950854
Ucayali,Atalaya,2502,4364,1351,72,75,1.7186067827681026,5.329385640266469
Ucayali,Padre Abad,2503,3939,2167,62,86,2.1832952526021834,2.861098292570374
Ucayali,Purús,2504,196,102,0,0,0.0,0.0
